year,country,lifeExp,pop,gdpPercap
1952,Albania,55.23,1282697,1601.056136
1952,Austria,66.8,6927772,6137.076492
1952,Belgium,68,8730405,8343.105127
1952,Bosnia and Herzegovina,53.82,2791000,973.5331948
1952,Bulgaria,59.6,7274900,2444.286648
1952,Croatia,61.21,3882229,3119.23652
1952,Czech Republic,66.87,9125183,6876.14025
1952,Denmark,70.78,4334000,9692.385245
1952,Finland,66.55,4090500,6424.519071
1952,France,67.41,42459667,7029.809327
1952,Germany,67.5,69145952,7144.114393
1952,Greece,65.86,7733250,3530.690067
1952,Hungary,64.03,9504000,5263.673816
1952,Iceland,72.49,147962,7267.688428
1952,Ireland,66.91,2952156,5210.280328
1952,Italy,65.94,47666000,4931.404155
1952,Montenegro,59.164,413834,2647.585601
1952,Netherlands,72.13,10381988,8941.571858
1952,Norway,72.67,3327728,10095.42172
1952,Poland,61.31,25730551,4029.329699
1952,Portugal,59.82,8526050,3068.319867
1952,Romania,61.05,16630000,3144.613186
1952,Serbia,57.996,6860147,3581.459448
1952,Slovak Republic,64.36,3558137,5074.659104
1952,Slovenia,65.57,1489518,4215.041741
1952,Spain,64.94,28549870,3834.034742
1952,Sweden,71.86,7124673,8527.844662
1952,Switzerland,69.62,4815000,14734.23275
1952,Turkey,43.585,22235677,1969.10098
1952,United Kingdom,69.18,50430000,9979.508487
1957,Albania,59.28,1476505,1942.284244
1957,Austria,67.48,6965860,8842.59803
1957,Belgium,69.24,8989111,9714.960623
1957,Bosnia and Herzegovina,58.45,3076000,1353.989176
1957,Bulgaria,66.61,7651254,3008.670727
1957,Croatia,64.77,3991242,4338.231617
1957,Czech Republic,69.03,9513758,8256.343918
1957,Denmark,71.81,4487831,11099.65935
1957,Finland,67.49,4324000,7545.415386
1957,France,68.93,44310863,8662.834898
1957,Germany,69.1,71019069,10187.82665
1957,Greece,67.86,8096218,4916.299889
1957,Hungary,66.41,9839000,6040.180011
1957,Iceland,73.47,165110,9244.001412
1957,Ireland,68.9,2878220,5599.077872
1957,Italy,67.81,49182000,6248.656232
1957,Montenegro,61.448,442829,3682.259903
1957,Netherlands,72.99,11026383,11276.19344
1957,Norway,73.44,3491938,11653.97304
1957,Poland,65.77,28235346,4734.253019
1957,Portugal,61.51,8817650,3774.571743
1957,Romania,64.1,17829327,3943.370225
1957,Serbia,61.685,7271135,4981.090891
1957,Slovak Republic,67.45,3844277,6093.26298
1957,Slovenia,67.85,1533070,5862.276629
1957,Spain,66.66,29841614,4564.80241
1957,Sweden,72.49,7363802,9911.878226
1957,Switzerland,70.56,5126000,17909.48973
1957,Turkey,48.079,25670939,2218.754257
1957,United Kingdom,70.42,51430000,11283.17795
1962,Albania,64.82,1728137,2312.888958
1962,Austria,69.54,7129864,10750.72111
1962,Belgium,70.25,9218400,10991.20676
1962,Bosnia and Herzegovina,61.93,3349000,1709.683679
1962,Bulgaria,69.51,8012946,4254.337839
1962,Croatia,67.13,4076557,5477.890018
1962,Czech Republic,69.9,9620282,10136.86713
1962,Denmark,72.35,4646899,13583.31351
1962,Finland,68.75,4491443,9371.842561
1962,France,70.51,47124000,10560.48553
1962,Germany,70.3,73739117,12902.46291
1962,Greece,69.51,8448233,6017.190733
1962,Hungary,67.96,10063000,7550.359877
1962,Iceland,73.68,182053,10350.15906
1962,Ireland,70.29,2830000,6631.597314
1962,Italy,69.24,50843200,8243.58234
1962,Montenegro,63.728,474528,4649.593785
1962,Netherlands,73.23,11805689,12790.84956
1962,Norway,73.47,3638919,13450.40151
1962,Poland,67.64,30329617,5338.752143
1962,Portugal,64.39,9019800,4727.954889
1962,Romania,66.8,18680721,4734.997586
1962,Serbia,64.531,7616060,6289.629157
1962,Slovak Republic,70.33,4237384,7481.107598
1962,Slovenia,69.15,1582962,7402.303395
1962,Spain,69.69,31158061,5693.843879
1962,Sweden,73.37,7561588,12329.44192
1962,Switzerland,71.32,5666000,20431.0927
1962,Turkey,52.098,29788695,2322.869908
1962,United Kingdom,70.76,53292000,12477.17707
1967,Albania,66.22,1984060,2760.196931
1967,Austria,70.14,7376998,12834.6024
1967,Belgium,70.94,9556500,13149.04119
1967,Bosnia and Herzegovina,64.79,3585000,2172.352423
1967,Bulgaria,70.42,8310226,5577.0028
1967,Croatia,68.5,4174366,6960.297861
1967,Czech Republic,70.38,9835109,11399.44489
1967,Denmark,72.96,4838800,15937.21123
1967,Finland,69.83,4605744,10921.63626
1967,France,71.55,49569000,12999.91766
1967,Germany,70.8,76368453,14745.62561
1967,Greece,71,8716441,8513.097016
1967,Hungary,69.5,10223422,9326.64467
1967,Iceland,73.73,198676,13319.89568
1967,Ireland,71.08,2900100,7655.568963
1967,Italy,71.06,52667100,10022.40131
1967,Montenegro,67.178,501035,5907.850937
1967,Netherlands,73.82,12596822,15363.25136
1967,Norway,74.08,3786019,16361.87647
1967,Poland,69.61,31785378,6557.152776
1967,Portugal,66.6,9103000,6361.517993
1967,Romania,66.8,19284814,6470.866545
1967,Serbia,66.914,7971222,7991.707066
1967,Slovak Republic,70.98,4442238,8412.902397
1967,Slovenia,69.18,1646912,9405.489397
1967,Spain,71.44,32850275,7993.512294
1967,Sweden,74.16,7867931,15258.29697
1967,Switzerland,72.77,6063000,22966.14432
1967,Turkey,54.336,33411317,2826.356387
1967,United Kingdom,71.36,54959000,14142.85089
1972,Albania,67.69,2263554,3313.422188
1972,Austria,70.63,7544201,16661.6256
1972,Belgium,71.44,9709100,16672.14356
1972,Bosnia and Herzegovina,67.45,3819000,2860.16975
1972,Bulgaria,70.9,8576200,6597.494398
1972,Croatia,69.61,4225310,9164.090127
1972,Czech Republic,70.29,9862158,13108.4536
1972,Denmark,73.47,4991596,18866.20721
1972,Finland,70.87,4639657,14358.8759
1972,France,72.38,51732000,16107.19171
1972,Germany,71,78717088,18016.18027
1972,Greece,72.34,8888628,12724.82957
1972,Hungary,69.76,10394091,10168.65611
1972,Iceland,74.46,209275,15798.06362
1972,Ireland,71.28,3024400,9530.772896
1972,Italy,72.19,54365564,12269.27378
1972,Montenegro,70.636,527678,7778.414017
1972,Netherlands,73.75,13329874,18794.74567
1972,Norway,74.34,3933004,18965.05551
1972,Poland,70.85,33039545,8006.506993
1972,Portugal,69.26,8970450,9022.247417
1972,Romania,69.21,20662648,8011.414402
1972,Serbia,68.7,8313288,10522.06749
1972,Slovak Republic,70.35,4593433,9674.167626
1972,Slovenia,69.82,1694510,12383.4862
1972,Spain,73.06,34513161,10638.75131
1972,Sweden,74.72,8122293,17832.02464
1972,Switzerland,73.78,6401400,27195.11304
1972,Turkey,57.005,37492953,3450.69638
1972,United Kingdom,72.01,56079000,15895.11641
1977,Albania,68.93,2509048,3533.00391
1977,Austria,72.17,7568430,19749.4223
1977,Belgium,72.8,9821800,19117.97448
1977,Bosnia and Herzegovina,69.86,4086000,3528.481305
1977,Bulgaria,70.81,8797022,7612.240438
1977,Croatia,70.64,4318673,11305.38517
1977,Czech Republic,70.71,10161915,14800.16062
1977,Denmark,74.69,5088419,20422.9015
1977,Finland,72.52,4738902,15605.42283
1977,France,73.83,53165019,18292.63514
1977,Germany,72.5,78160773,20512.92123
1977,Greece,73.68,9308479,14195.52428
1977,Hungary,69.95,10637171,11674.83737
1977,Iceland,76.11,221823,19654.96247
1977,Ireland,72.03,3271900,11150.98113
1977,Italy,73.48,56059245,14255.98475
1977,Montenegro,73.066,560073,9595.929905
1977,Netherlands,75.24,13852989,21209.0592
1977,Norway,75.37,4043205,23311.34939
1977,Poland,70.67,34621254,9508.141454
1977,Portugal,70.41,9662600,10172.48572
1977,Romania,69.46,21658597,9356.39724
1977,Serbia,70.3,8686367,12980.66956
1977,Slovak Republic,70.45,4827803,10922.66404
1977,Slovenia,70.97,1746919,15277.03017
1977,Spain,74.39,36439000,13236.92117
1977,Sweden,75.44,8251648,18855.72521
1977,Switzerland,75.39,6316424,26982.29052
1977,Turkey,59.507,42404033,4269.122326
1977,United Kingdom,72.76,56179000,17428.74846
1982,Albania,70.42,2780097,3630.880722
1982,Austria,73.18,7574613,21597.08362
1982,Belgium,73.93,9856303,20979.84589
1982,Bosnia and Herzegovina,70.69,4172693,4126.613157
1982,Bulgaria,71.08,8892098,8224.191647
1982,Croatia,70.46,4413368,13221.82184
1982,Czech Republic,70.96,10303704,15377.22855
1982,Denmark,74.63,5117810,21688.04048
1982,Finland,74.55,4826933,18533.15761
1982,France,74.89,54433565,20293.89746
1982,Germany,73.8,78335266,22031.53274
1982,Greece,75.24,9786480,15268.42089
1982,Hungary,69.39,10705535,12545.99066
1982,Iceland,76.99,233997,23269.6075
1982,Ireland,73.1,3480000,12618.32141
1982,Italy,74.98,56535636,16537.4835
1982,Montenegro,74.101,562548,11222.58762
1982,Netherlands,76.05,14310401,21399.46046
1982,Norway,75.97,4114787,26298.63531
1982,Poland,71.32,36227381,8451.531004
1982,Portugal,72.77,9859650,11753.84291
1982,Romania,69.66,22356726,9605.314053
1982,Serbia,70.162,9032824,15181.0927
1982,Slovak Republic,70.8,5048043,11348.54585
1982,Slovenia,71.063,1861252,17866.72175
1982,Spain,76.3,37983310,13926.16997
1982,Sweden,76.42,8325260,20667.38125
1982,Switzerland,76.21,6468126,28397.71512
1982,Turkey,61.036,47328791,4241.356344
1982,United Kingdom,74.04,56339704,18232.42452
1987,Albania,72,3075321,3738.932735
1987,Austria,74.94,7578903,23687.82607
1987,Belgium,75.35,9870200,22525.56308
1987,Bosnia and Herzegovina,71.14,4338977,4314.114757
1987,Bulgaria,71.34,8971958,8239.854824
1987,Croatia,71.52,4484310,13822.58394
1987,Czech Republic,71.58,10311597,16310.4434
1987,Denmark,74.8,5127024,25116.17581
1987,Finland,74.83,4931729,21141.01223
1987,France,76.34,55630100,22066.44214
1987,Germany,74.847,77718298,24639.18566
1987,Greece,76.67,9974490,16120.52839
1987,Hungary,69.58,10612740,12986.47998
1987,Iceland,77.23,244676,26923.20628
1987,Ireland,74.36,3539900,13872.86652
1987,Italy,76.42,56729703,19207.23482
1987,Montenegro,74.865,569473,11732.51017
1987,Netherlands,76.83,14665278,23651.32361
1987,Norway,75.89,4186147,31540.9748
1987,Poland,70.98,37740710,9082.351172
1987,Portugal,74.06,9915289,13039.30876
1987,Romania,69.53,22686371,9696.273295
1987,Serbia,71.218,9230783,15870.87851
1987,Slovak Republic,71.08,5199318,12037.26758
1987,Slovenia,72.25,1945870,18678.53492
1987,Spain,76.9,38880702,15764.98313
1987,Sweden,77.19,8421403,23586.92927
1987,Switzerland,77.41,6649942,30281.70459
1987,Turkey,63.108,52881328,5089.043686
1987,United Kingdom,75.007,56981620,21664.78767
1992,Albania,71.581,3326498,2497.437901
1992,Austria,76.04,7914969,27042.01868
1992,Belgium,76.46,10045622,25575.57069
1992,Bosnia and Herzegovina,72.178,4256013,2546.781445
1992,Bulgaria,71.19,8658506,6302.623438
1992,Croatia,72.527,4494013,8447.794873
1992,Czech Republic,72.4,10315702,14297.02122
1992,Denmark,75.33,5171393,26406.73985
1992,Finland,75.7,5041039,20647.16499
1992,France,77.46,57374179,24703.79615
1992,Germany,76.07,80597764,26505.30317
1992,Greece,77.03,10325429,17541.49634
1992,Hungary,69.17,10348684,10535.62855
1992,Iceland,78.77,259012,25144.39201
1992,Ireland,75.467,3557761,17558.81555
1992,Italy,77.44,56840847,22013.64486
1992,Montenegro,75.435,621621,7003.339037
1992,Netherlands,77.42,15174244,26790.94961
1992,Norway,77.32,4286357,33965.66115
1992,Poland,70.99,38370697,7738.881247
1992,Portugal,74.86,9927680,16207.26663
1992,Romania,69.36,22797027,6598.409903
1992,Serbia,71.659,9826397,9325.068238
1992,Slovak Republic,71.38,5302888,9498.467723
1992,Slovenia,73.64,1999210,14214.71681
1992,Spain,77.57,39549438,18603.06452
1992,Sweden,78.16,8718867,23880.01683
1992,Switzerland,78.03,6995447,31871.5303
1992,Turkey,66.146,58179144,5678.348271
1992,United Kingdom,76.42,57866349,22705.09254
1997,Albania,72.95,3428038,3193.054604
1997,Austria,77.51,8069876,29095.92066
1997,Belgium,77.53,10199787,27561.19663
1997,Bosnia and Herzegovina,73.244,3607000,4766.355904
1997,Bulgaria,70.32,8066057,5970.38876
1997,Croatia,73.68,4444595,9875.604515
1997,Czech Republic,74.01,10300707,16048.51424
1997,Denmark,76.11,5283663,29804.34567
1997,Finland,77.13,5134406,23723.9502
1997,France,78.64,58623428,25889.78487
1997,Germany,77.34,82011073,27788.88416
1997,Greece,77.869,10502372,18747.69814
1997,Hungary,71.04,10244684,11712.7768
1997,Iceland,78.95,271192,28061.09966
1997,Ireland,76.122,3667233,24521.94713
1997,Italy,78.82,57479469,24675.02446
1997,Montenegro,75.445,692651,6465.613349
1997,Netherlands,78.03,15604464,30246.13063
1997,Norway,78.32,4405672,41283.16433
1997,Poland,72.75,38654957,10159.58368
1997,Portugal,75.97,10156415,17641.03156
1997,Romania,69.72,22562458,7346.547557
1997,Serbia,72.232,10336594,7914.320304
1997,Slovak Republic,72.71,5383010,12126.23065
1997,Slovenia,75.13,2011612,17161.10735
1997,Spain,78.77,39855442,20445.29896
1997,Sweden,79.39,8897619,25266.59499
1997,Switzerland,79.37,7193761,32135.32301
1997,Turkey,68.835,63047647,6601.429915
1997,United Kingdom,77.218,58808266,26074.53136
2002,Albania,75.651,3508512,4604.211737
2002,Austria,78.98,8148312,32417.60769
2002,Belgium,78.32,10311970,30485.88375
2002,Bosnia and Herzegovina,74.09,4165416,6018.975239
2002,Bulgaria,72.14,7661799,7696.777725
2002,Croatia,74.876,4481020,11628.38895
2002,Czech Republic,75.51,10256295,17596.21022
2002,Denmark,77.18,5374693,32166.50006
2002,Finland,78.37,5193039,28204.59057
2002,France,79.59,59925035,28926.03234
2002,Germany,78.67,82350671,30035.80198
2002,Greece,78.256,10603863,22514.2548
2002,Hungary,72.59,10083313,14843.93556
2002,Iceland,80.5,288030,31163.20196
2002,Ireland,77.783,3879155,34077.04939
2002,Italy,80.24,57926999,27968.09817
2002,Montenegro,73.981,720230,6557.194282
2002,Netherlands,78.53,16122830,33724.75778
2002,Norway,79.05,4535591,44683.97525
2002,Poland,74.67,38625976,12002.23908
2002,Portugal,77.29,10433867,19970.90787
2002,Romania,71.322,22404337,7885.360081
2002,Serbia,73.213,10111559,7236.075251
2002,Slovak Republic,73.8,5410052,13638.77837
2002,Slovenia,76.66,2011497,20660.01936
2002,Spain,79.78,40152517,24835.47166
2002,Sweden,80.04,8954175,29341.63093
2002,Switzerland,80.62,7361757,34480.95771
2002,Turkey,70.845,67308928,6508.085718
2002,United Kingdom,78.471,59912431,29478.99919
2007,Albania,76.423,3600523,5937.029526
2007,Austria,79.829,8199783,36126.4927
2007,Belgium,79.441,10392226,33692.60508
2007,Bosnia and Herzegovina,74.852,4552198,7446.298803
2007,Bulgaria,73.005,7322858,10680.79282
2007,Croatia,75.748,4493312,14619.22272
2007,Czech Republic,76.486,10228744,22833.30851
2007,Denmark,78.332,5468120,35278.41874
2007,Finland,79.313,5238460,33207.0844
2007,France,80.657,61083916,30470.0167
2007,Germany,79.406,82400996,32170.37442
2007,Greece,79.483,10706290,27538.41188
2007,Hungary,73.338,9956108,18008.94444
2007,Iceland,81.757,301931,36180.78919
2007,Ireland,78.885,4109086,40675.99635
2007,Italy,80.546,58147733,28569.7197
2007,Montenegro,74.543,684736,9253.896111
2007,Netherlands,79.762,16570613,36797.93332
2007,Norway,80.196,4627926,49357.19017
2007,Poland,75.563,38518241,15389.92468
2007,Portugal,78.098,10642836,20509.64777
2007,Romania,72.476,22276056,10808.47561
2007,Serbia,74.002,10150265,9786.534714
2007,Slovak Republic,74.663,5447502,18678.31435
2007,Slovenia,77.926,2009245,25768.25759
2007,Spain,80.941,40448191,28821.0637
2007,Sweden,80.884,9031088,33859.74835
2007,Switzerland,81.701,7554661,37506.41907
2007,Turkey,71.777,71158647,8458.276384
2007,United Kingdom,79.425,60776238,33203.26128
